symbol,sound_type,manner,place,voice,secondary,length,vertical,horizontal,rounding,nasalization
*,dot,,,,,,,,,
#,word boundary,,,,,,,,,
a,vowel,,,,,normal,open,front,unrounded,
ɐ,vowel,,,,,normal,near-open,central,unrounded,
ɑ,vowel,,,,,normal,open,back,unrounded,
æ,vowel,,,,,normal,near-open,front,unrounded,
b,consonant,plosive,bilabial,voiced,,normal,,,,
ç,consonant,fricative,palatal,voiceless,,normal,,,,
ɔ,vowel,,,,,normal,open-mid,back,rounded,
ɕ,consonant,fricative,alveolo-palatal,voiceless,,normal,,,,
d,consonant,plosive,alveolar,voiced,,normal,,,,
ɖ,consonant,plosive,retroflex,voiced,,normal,,,,
e,vowel,,,,,normal,close-mid,front,unrounded,
ə,vowel,,,,,normal,mid,central,unrounded,
ɛ,vowel,,,,,normal,open-mid,front,unrounded,
f,consonant,fricative,labiodental,voiceless,,normal,,,,
ɡ,consonant,plosive,velar,voiced,,normal,,,,
h,consonant,fricative,glottal,voiceless,,normal,,,,
ɦ,consonant,fricative,glottal,voiced,,normal,,,,
ɧ,consonant,fricative,alveolar,voiceless,,normal,,,,
i,vowel,,,,,normal,close,front,unrounded,
ɪ,vowel,,,,,normal,near-close,near-front,unrounded,
ɨ,vowel,,,,,normal,close,central,unrounded,
j,consonant,approximant,palatal,voiced,,normal,,,,
k,consonant,plosive,velar,voiceless,,normal,,,,
l,consonant,lateral approximant,alveolar,voiced,,normal,,,,
ɫ,consonant,lateral fricative,alveolar,voiceless,,normal,,,,
ɭ,consonant,lateral approximant,retroflex,voiced,,normal,,,,
m,consonant,nasal,bilabial,voiced,,normal,,,,
n,consonant,nasal,alveolar,voiced,,normal,,,,
ɳ,consonant,nasal,retroflex,voiced,,normal,,,,
ŋ,consonant,nasal,velar,voiced,,normal,,,,
o,vowel,,,,,normal,close-mid,back,rounded,
ɵ,vowel,,,,,normal,close-mid,central,rounded,
ø,vowel,,,,,normal,close-mid,front,rounded,
œ,vowel,,,,,normal,open-mid,front,rounded,
p,consonant,plosive,bilabial,voiceless,,normal,,,,
r,consonant,trill,alveolar,voiced,,normal,,,,
ʁ,consonant,fricative,uvular,voiced,,normal,,,,
s,consonant,fricative,alveolar,voiceless,,normal,,,,
ʂ,consonant,fricative,retroflex,voiceless,,normal,,,,
ʃ,consonant,fricative,postalveolar,voiceless,,normal,,,,
t,consonant,plosive,alveolar,voiceless,,normal,,,,
ʈ,consonant,plosive,retroflex,voiceless,,normal,,,,
u,vowel,,,,,normal,close,back,rounded,
ʉ,vowel,,,,,normal,close,central,rounded,
ʊ,vowel,,,,,normal,near-close,near-back,rounded,
v,consonant,fricative,labiodental,voiced,,normal,,,,
w,consonant,approximant,velar,voiced,labialized,normal,,,,
x,consonant,fricative,velar,voiceless,,normal,,,,
y,vowel,,,,,normal,close,front,rounded,
ʏ,vowel,,,,,normal,near-close,near-front,rounded,
z,consonant,fricative,alveolar,voiced,,normal,,,,
ʐ,consonant,fricative,retroflex,voiced,,normal,,,,
ʒ,consonant,fricative,postalveolar,voiced,,normal,,,,
χ,consonant,fricative,uvular,voiceless,,normal,,,,