ɡɫaˑs,ɔkɔ
uˑmnɨj,mudrɪj
uˑmnɨj,rɔzumnɪj
jɨskuˑsnɨj,umilɪj
mʲiˑɫɨj,mɪlɪj
vʲɪsʲoɫɨj,wɛsɛlɪj
nʲeˑʒnɨj,lɑɦjidnɪj
ɡɐɫɔˑdnɨj,ɦɔlɔdnɪj
bɐlnɔˑj,slɑbɪj
ɡɔˑɫɨj,ɦɔlɪj
ɡruˑstnɨj,sumnɪj
ʒɨvɔˑj,ʐɪwɪj
xɐrɔˑʃɨj,dɔbrɪj
pɫɐxɔˑj,pɔɦɑnɪj
pɫɐxɔˑj,kɛpsʲkɪj
praˑvʲilnɨj,prɑwɪlʲnɪj
ɐtvrɐtʲiˑtʲɪlnɨj,brɪdkɪj
mʲeˑrzkij,brɪdkɪj
nəstɐjaˑʃʲːij,sprɑwʐnʲij
staˑrɨj,stɑrɪj
nɔˑvɨj,nɔwɪj
bɨˑvʃɨj,kɔlɪʂnʲij
pəʒɨɫɔˑj,stɑrɪj
məɫɐdɔˑj,mɔlɔdɪj
bʲeˑdnɨj,bidnɪj
bɐɡaˑtɨj,bɑɦɑtɪj
znɐkɔˑmɨj,znɑjɔmɪj
znəmʲɪnʲiˑtɨj,slɑwɛtnɪj
t͡ʃuʒɔˑj,ʈ͡ʂuʐɪj
raˑznɨj,rʲiznɪj
bliˑzkij,blɪzʲkɪj
dɐlokij,dɑlɛkɪj
leˑvɨj,lʲiwɪj
praˑvɨj,prɑwɪj
druɡɔˑj,jinɑkʂɪj
pʲeˑrvɨj,pɛrʂɪj
vtɐrɔˑj,druɦɪj
trʲeˑtʲij,trɛtʲij
pɐsleˑdnʲij,ɔstɑnʲːij
ɐdʲiˑn,sɑm
ɐdʲiˑn,ɔdɪn
sraˑzu,vidrɑzu
vmʲeˑstʲɪ,rɑzɔm
vmʲeˑstʲɪ,spʲilʲnɔ
dɔˑɫɡə,dɔwɦɔ
vdruˑk,rɑptɔm
tɔˑtt͡ʃəs,zɑrɑz
pɔˑzʒə,pʲiznʲiʂɛ
sʲɪjt͡ʃaˑs,tɛpɛr
sʲɪvɔˑdnʲɪ,sʲɔɦɔdnʲi
zaˑvtrə,zɑwtrɑ
skɔˑrə,nɛzɑbɑrɔm
pɐtɔˑm,pɔtʲim
vt͡ʃʲɪraˑ,wʈ͡ʂɔrɑ
ɐdnaˑʒdɨ,kɔlɪsʲ
tɐɡdaˑ,tɔdʲi
zɐtʲeˑm,zɦɔdɔm
raˑnʲʃə,rɑnʲiʂɛ
spʲɪrvaˑ,spɛrʂu
spʲɪrvaˑ,spɔʈ͡ʂɑtku
raˑs,ɔdɪn rɑz
jɨnɐɡdaˑ,jinɔdʲi
jɨnɐɡdaˑ,jinkɔlɪ
t͡ʃaˑstə,ʈ͡ʂɑstɔ
vsʲɪɡdaˑ,zɑwʐdɪ
nʲikɐɡdaˑ,nʲikɔlɪ
zdʲeˑsʲ,tut
sʲudaˑ,sʲudɪ
ɐtsʲuˑdə,zvidsɪ
taˑm,tɑm
tudaˑ,tudɪ
prʲaˑmə,prʲɑmɔ
vpʲɪrʲot,wpɛrɛd
nɐzaˑt,nɑzɑd
ɐbraˑtnə,nɑzɑd
vnʲizuˑ,wnɪzu
vnʲiˑs,wnɪz
nəvʲɪrxuˑ,wɦɔrʲi
vvʲeˑrx,wɦɔru
vʲɪzdʲeˑ,skrʲizʲ
nʲeˑ,nɛ
nʲɪmnɔˑɡə,trɔxɪ
nʲɪmnɔˑɡə,nɛbɑɦɑtɔ
jɪdvaˑ,lɛdwɛ
ɔˑt͡ʃʲɪnʲ,duʐɛ
taˑk,tɑk
jɪʃʲːo,ʂʈ͡ʂɛ
tɔˑlkə,lɪʂɛ
tɔˑlkə,tʲilʲkɪ
uʒɛˑ,wʐɛ
ɐpʲaˑtʲ,znɔwu
nɐpraˑsnə,dɑrmɑ
pʲeˑrʲɪt,pɛrɛd
zaˑ,zːɑdu
zaˑ,pɔzɑdu
pəzɐdʲiˑ,zːɑdu
pəzɐdʲiˑ,pɔzɑdu
pɔˑt,pʲid
skvɔˑsʲ,krʲizʲ
vɔˑzlɪ,bilʲɑ
mʲeˑʒdu,miʐ
jɨˑz-zə,zːɑ
jɨˑz-zə,ʈ͡ʂɛrɛz
ɛˑtə,t͡sɛ
tɔˑ,tɔ
vsʲo,wsɛ
jaˑ,jɑ
tɨˑ,tɪ
ɔˑn,vin
mɨˑ,mɪ
vɨˑ,wɪ
ɐnʲiˑ,wɔnɪ
ʃtɔː,ʂʈ͡ʂɔ
ktɔˑ,xtɔ
ɡdʲeˑ,dɛ
kudaˑ,kudɪ
kaˑk,jɑk
pət͡ʃʲɪmuˑ,ʈ͡ʂɔmu
skɔˑlkə,skilʲkɪ
ɐdʲiˑn,ɔdɪn
dvaˑ,dwɑ
trʲiˑ,trɪ
t͡ʃʲɪtɨˑrʲɪ,ʈ͡ʂɔtɪrɪ
pʲaˑtʲ,pjɑtʲ
ʃəstʲ,ʂjistʲ
sʲeˑmʲ,sʲim
vɔˑsʲɪmʲ,visʲim
dʲeˑvʲɪtʲ,dɛwjɑtʲ
dʲeˑsʲɪtʲ,dɛsʲɑtʲ
ɐdʲiˑnnədt͡sətʲ,ɔdɪnɑdt͡sʲɑtʲ
dvʲɪnaˑdt͡sətʲ,dwɑnɑdt͡sʲɑtʲ
dvaˑdt͡sətʲ,dwɑdt͡sʲɑtʲ
trʲiˑdt͡sətʲ,trɪdt͡sʲɑtʲ
sɔˑrək,sɔrɔk
pʲɪtʲdʲɪsʲaˑt,pjɑddɛsʲɑt
ʃəstʲdʲɪsʲaˑt,ʂjisddɛsʲɑt
sʲeˑmʲdʲɪsʲɪt,sʲimdɛsʲɑt
vɔˑsʲɪmʲdʲɪsʲɪt,visʲimdɛsʲɑt
dʲɪvʲɪ|nɔˑstə,dɛwjɑnɔstɔ
stɔˑ,stɔ
tɨˑsʲɪt͡ʃə,tɪsʲɑʈ͡ʂɑ
jɨˑ,ji
jɨˑli,ɑbɔ
liˑbə,ɑbɔ
stɐjaˑtʲ,stɔjɑtɪ
sʲidʲeˑtʲ,sɪdʲitɪ
lɪʒaˑtʲ,lɛʐɑtɪ
vʲisʲeˑtʲ,wɪsʲitɪ
staˑtʲ,stɑtɪ
staˑtʲ,rɔbɪtɪsʲɑ
sɫut͡ʃʲiˑtʲsʲɪ,trɑpɪtɪsʲɑ
nɐt͡ʃaˑtʲsʲɪ,pɔʈ͡ʂɑtɪsʲɑ
kɔˑnt͡ʃʲitʲsʲɪ,kinʈ͡ʂɪtɪsʲɑ
mʲɪnʲaˑtʲsʲɪ,minʲɑtɪsʲɑ
vzəjtʲiˑ,zʲijtɪ
zəjtʲiˑ,zɑjtɪ
svʲɪtʲiˑtʲ,svitɪtɪ
ɡrʲɪmʲeˑtʲ,ɦrɪmitɪ
duˑtʲ,vijɑtɪ
liˑtʲsʲɪ,lɪtɪsʲɑ
tʲeˑt͡ʃʲ,tɛktɪ
vrɐʃʃaˑtʲsʲɪ,ɔbɛrtɑtɪsʲɑ
kəlɪbaˑtʲsʲɪ,kɔlɪwɑtɪsʲɑ
kɐt͡ʃaˑtʲsʲɪ,xɪtɑtɪsʲɑ
kɐt͡ʃaˑtʲsʲɪ,ɦɔjdɑtɪsʲɑ
paˑdətʲ,pɑdɑtɪ
ɡɐrʲeˑtʲ,ɦɔrʲitɪ
dɨmʲiˑtʲ,dɪmitɪ
dɐʒdʲiˑtʲ,dɔʂʈ͡ʂɪtɪ
zɐmʲorznutʲ,zmɛrznutɪ
taˑjətʲ,tɑnutɪ
pɫaˑvʲitʲsʲɪ,plɑwɪtɪsʲɑ
sɔˑxnutʲ,sɔxnutɪ
kipʲeˑtʲ,kɪpʲitɪ
ɡnʲiˑtʲ,ɦnɪtɪ
sɡnʲiˑtʲ,zɦnɪtɪ
rvaˑtʲsʲɪ,rwɑtɪsʲɑ
tɐnuˑtʲ,tɔnutɪ
prəxɐdʲiˑtʲ,prɔxɔdɪtɪ
pəjɐvʲiˑtʲsʲɪ,zjɑwɪtɪsʲɑ
jɨst͡ʃʲeˑznutʲ,ʂʈ͡ʂɛznutɪ
jɨst͡ʃʲeˑznutʲ,znɪknutɪ
spɐdaˑtʲ,spɑdɑtɪ
umʲeˑnʲʃɨtʲsʲɪ,pɔmɛnʂɪtɪsʲɑ
uvʲɪliˑt͡ʃʲivətʲsʲɪ,zbilʲʂuwɑtɪsʲɑ
pədnʲimaˑtʲsʲɪ,pʲidnʲimɑtɪsʲɑ
rɐstʲiˑ,rɔstɪ
blɪstʲeˑtʲ,blɪʂʈ͡ʂɑtɪ
svʲɪrkaˑtʲ,blɪskɑtɪ
ʃumʲeˑtʲ,ʂumitɪ
zvɐnʲiˑtʲ,d͡zwɔnɪtɪ
zvɐnʲiˑtʲ,d͡zwɔnɪtɪ
zvʲaˑkətʲ,d͡zvɑkɑtɪ
buʃɪvaˑtʲ,buʂuwɑtɪ
ʃəlɪstʲeˑtʲ,ʂɛlɛstʲitɪ
zvut͡ʃaˑtʲ,lunɑtɪ
zvut͡ʃaˑtʲ,zwuʈ͡ʂɑtɪ
ɫaˑjətʲ,ɦɑwkɑtɪ
vɨˑtʲ,wɪtɪ
duˑnutʲ,dunutɪ
svʲistʲeˑtʲ,swɪstʲitɪ
krʲit͡ʃaˑtʲ,krɪʈ͡ʂɑtɪ
stɐnaˑtʲ,stɔɦnɑtɪ
drɐʒaˑtʲ,trɛmtʲitɪ
ʒɨˑtʲ,ʐɪtɪ
rɐdʲiˑtʲsʲɪ,nɑrɔdɪtɪsʲɑ
dɨʃaˑtʲ,dɪxɑtɪ
pʲiˑtʲ,pɪtɪ
jəstʲ,jistɪ
kuˑʃətʲ,jistɪ
ɡɫɐtaˑtʲ,kɔwtɑtɪ
ustaˑtʲ,wtɔmɪtɪsʲɑ
zɐsnuˑtʲ,zɑsnutɪ
spaˑtʲ,spɑtɪ
prɐsnuˑtʲsʲɪ,prɔkɪnutɪsʲɑ
vstaˑtʲ,wstɑtɪ
ɐtdɨxaˑtʲ,vidpɔʈ͡ʂɪwɑtɪ
zəbɐleˑtʲ,zɑxwɔrʲitɪ
bɐleˑtʲ,xwɔrʲitɪ
bɐleˑtʲ,bɔlʲitɪ
kaˑʃlɪtʲ,kɑʂlʲɑtɪ
pɐpraˑvʲitʲsʲɪ,ɔduʐɑtɪ
pɐpraˑvʲitʲsʲɪ,wɪduʐɑtɪ
umʲɪrʲeˑtʲ,pɔmɛrtɪ
pɐɡiˑbnutʲ,zɦɪnutɪ
dvʲiˑɡətʲsʲɪ,ruxɑtɪsʲɑ
ʃəvʲɪlnuˑtʲsʲɪ,wɔruʂɪtɪsʲɑ
vstaˑtʲ,wstɑtɪ
sʲɪstʲ,sʲistɪ
upaˑstʲ,upɑstɪ
xɐdʲiˑtʲ,xɔdɪtɪ
ʃɐɡaˑtʲ,krɔkuwɑtɪ
ɡulaˑtʲ,ɦulʲɑtɪ
spʲɪʃɨˑtʲ,spʲiʂɪtɪ
tərɐpʲiˑtʲsʲɪ,pɔspʲiʂɑtɪ
mt͡ʃaˑtʲsʲɪ,mʈ͡ʂɑtɪsʲɑ
bʲeˑɡətʲ,biɦɑtɪ
prɨˑɡətʲ,skɑkɑtɪ
prɨˑɡətʲ,strɪbɑtɪ
ɫaˑzətʲ,lɑzɪtɪ
rɐskaˑt͡ʃʲivətʲsʲɪ,ɦɔjdɑtɪsʲɑ
pɔˑɫzətʲ,pɔwzɑtɪ
pɫaˑvətʲ,plɪwtɪ
pɫaˑvətʲ,plɑwɑtɪ
nɨrʲaˑtʲ,pʲirnɑtɪ
ɡrʲɪstʲiˑ,ɦrɛbtɪ
ɡrʲɪstʲiˑ,wɛsluwɑtɪ
jɛˑxətʲ,jixɑtɪ
lɪtaˑtʲ,lʲitɑtɪ
jɨdtʲiˑ,jitɪ
ujtʲiˑ,pʲitɪ
ɐtpraˑvʲitʲsʲɪ,vidjixɑtɪ
ɐtpraˑvʲitʲsʲɪ,vidprɑwɪtɪsʲɑ
ɐstənɐvʲiˑtʲsʲɪ,zupɪnɪtɪsʲɑ
vxɐdʲiˑtʲ,wxɔdɪtɪ
vəjtʲiˑ,uvijtɪ
prʲijtʲiˑ,prɪjtɪ
prʲibɨˑtʲ,prɪbutɪ
vəzvrɐtʲiˑtʲsʲɪ,pɔwɛrnutɪsʲɑ
ɐstaˑtʲsʲɪ,zɑlɪʂɪtɪsʲɑ
ʒdaˑtʲ,ʈ͡ʂɛkɑtɪ
ɐʒɨdaˑtʲ,ʈ͡ʂɛkɑtɪ
jɨskaˑtʲ,ʂukɑtɪ
nəjtʲiˑ,znɑjtɪ
pɨtaˑtʲsʲɪ,wɪprɔbɔwuwɑtɪ
pədɡɐtɔˑvʲitʲ,pʲidɦɔtuwɑtɪ
lubʲiˑtʲ,lʲubɪtɪ
lubʲiˑtʲ,lʲubɪtɪ
lubʲiˑtʲ,pɔdɔbɑtɪsʲɑ
smʲɪjaˑtʲsʲɪ,smijɑtɪsʲɑ
rɐstrɔˑɡətʲ,rɔzʈ͡ʂulɪtɪ
pɫaˑkətʲ,plɑkɑtɪ
ruɡaˑtʲsʲɪ,lɑjɑtɪsʲɑ
sʲɪrdʲiˑtʲsʲɪ,sɛrdɪtɪsʲɑ
bɐjaˑtʲsʲɪ,bɔjɑtɪsʲɑ
bɐjaˑtʲsʲɪ,bɔjɑtɪsʲɑ
ubʲeˑɡətʲ,tʲikɑtɪ
ubʲɪʒaˑtʲ,utɛktɪ
vʲiˑdʲɪtʲ,bɑʈ͡ʂɪtɪ
pəsmɐtrʲeˑtʲ,pɔɦlʲɑnutɪ
smɐtrʲeˑtʲ,dɪwɪtɪsʲɑ nɑ
sɫɨˑʃətʲ,ʈ͡ʂutɪ
sɫuˑʃətʲ,sluxɑtɪ
prɔˑbəvətʲ,pɔkuʂtuwɑtɪ
nʲuˑxətʲ,nʲuxɑtɪ
t͡ʃuˑvstvəvətʲ,vidʈ͡ʂuwɑtɪ
kɐzaˑtʲsʲɪ,zdɑwɑtɪsʲɑ
vʲidnʲeˑtʲsʲɪ,wɪdnʲitɪsʲɑ
usɫɨˑʃətʲ,pɔʈ͡ʂutɪ
mʲorznutʲ,mɛrznutɪ
dʲeˑɫətʲ,rɔbɪtɪ
mɔˑt͡ʃʲ,mɔɦtɪ
umʲeˑtʲ,mɔɦtɪ
xɐtʲeˑtʲ,xɔtʲitɪ
nɐt͡ʃaˑtʲ,pɔʈ͡ʂɑtɪ
zɐkɔˑnt͡ʃʲitʲ,zɑkinʈ͡ʂɪtɪ
pʲɪrʲɪstaˑtʲ,pɛrɛstɑtɪ
udaˑtʲsʲɪ,wdɑtɪsʲɑ
ɐkɐzaˑtʲsʲɪ,ɔpɪnɪtɪsʲɑ
ɐtkrɨˑtʲ,vidkrɪtɪ
zɐkrɨˑtʲ,zɑkrɪtɪ
pɐstaˑvʲitʲ,pɔstɑwɪtɪ
pəsɐdʲiˑtʲ,pɔsɑdɪtɪ
kɫəstʲ,klɑstɪ
trɔˑɡətʲ,ʈ͡ʂjipɑtɪ
svʲɪ|zaˑtʲ,zwjɑzɑtɪ
pɐkrɨˑtʲ,pɔkrɪtɪ
pɐvʲeˑsʲitʲ,pɔvisɪtɪ
zɐʒɛˑt͡ʃʲ,zɑpɑlɪtɪ
pɐdnʲaˑtʲ,pʲidnʲɑtɪ
ɐstaˑvʲitʲ,zɑlɪʂɪtɪ
pətʲɪrʲaˑtʲ,zɑɦubɪtɪ
urɐnʲiˑtʲ,upustɪtɪ
sdʲeˑɫətʲ,zrɔbɪtɪ
jɨzɡɐtɔˑvʲitʲ,wɪɦɔtɔwɪtɪ
strɔˑjɨtʲ,buduwɑtɪ
t͡ʃʲinʲiˑtʲ,lɑɦɔdɪtɪ
uɫut͡ʃʃɨˑtʲ,pɔlʲipʂɪtɪ
jɨzmʲɪnʲiˑtʲ,zminɪtɪ
kɐpaˑtʲ,kɔpɑtɪ
sɐɡnuˑtʲ,zʲiɦnutɪ
pɐɡnuˑtʲ,pɔɦnutɪ
vʲɪrtʲeˑtʲ,wɛrtʲitɪ
pəvʲɪrnuˑtʲ,pɔwɛrnutɪ
pʲɪrʲɪvʲɪrnuˑtʲ,pɛrɛwɛrnutɪ
pədnʲimaˑtʲ,pʲidnʲimɑtɪ
pɐdnʲaˑtʲ,pʲidnʲɑtɪ
sxvɐtʲiˑtʲ,sxɔpɪtɪ
dʲɪrʒaˑtʲ,trɪmɑtɪ
nəʒɨmaˑtʲ,nɑtɪskɑtɪ
tɐɫkaˑtʲ,pxɑtɪ
tɐɫkaˑtʲ,ʂtɔwxɑtɪ
skrʲɪstʲiˑ,ʂkrɛbtɪ
lizaˑtʲ,lɪzɑtɪ
kusaˑtʲ,kusɑtɪ
ɐtɐrvaˑtʲ,vidʲirwɑtɪ
ɐtrʲeˑzətʲ,vidrʲizɑtɪ
vʲɪ|zaˑtʲ,wjɑzɑtɪ
vɐtknuˑtʲ,uvitknutɪ
sɫɐmaˑtʲ,zlɑmɑtɪ
stut͡ʃaˑtʲ,stukɑtɪ
bʲiˑtʲ,bɪtɪ
kleˑjɨtʲ,klɛjitɪ
tʲɪrʲeˑtʲ,tɛrtɪ
nɐmaˑzətʲ,nɑmɑzɑtɪ
tɐt͡ʃʲiˑtʲ,tɔʈ͡ʂɪtɪ
rʲeˑzətʲ,rʲizɑtɪ
ʃɐtaˑtʲ,xɪtɑtɪ
trʲɪ|stʲiˑ,trʲɑstɪ
mɐxaˑtʲ,mɑxɑtɪ
nɐliˑtʲ,nɑlɪtɪ
nɐpɔˑɫnʲitʲ,nɑpɔwnɪtɪ
zəvʲɪrnuˑtʲ,zɑɦɔrnutɪ
nʲɪstʲiˑ,nɛstɪ
tɐʃʲːiˑtʲ,tʲɑɦtɪ
tʲɪ|nuˑtʲ,tʲɑɦnutɪ
xrɐnʲiˑtʲ,zbɛrʲiɦɑtɪ
brɐsaˑtʲ,kɪdɑtɪ
ɫɐvʲiˑtʲ,lɔwɪtɪ
sxvɐtʲiˑtʲ,sxɔpɪtɪ
sprʲaˑtətʲ,sxɔwɑtɪ
rəzdʲɪliˑtʲ,rɔzdʲilɪtɪ
pəsɨɫaˑtʲ,pɔsɪlɑtɪ
prʲinʲɪstʲiˑ,prɪnɛstɪ
dɐbaˑvʲitʲ,dɔdɑtɪ
dɐstaˑtʲ,dʲistɑtɪ
pəɫut͡ʃʲiˑtʲ,ɔdɛrʐɑtɪ
vzʲaˑtʲ,wzʲɑtɪ
vɨˑbrətʲ,wɪbrɑtɪ
ɐtɐbraˑtʲ,vidʲibrɑtɪ
səxrɐnʲiˑtʲ,zbɛrɛɦtɪ
prʲɪpʲaˑtstvəvətʲ,pɛrɛʂkɔɖ͡ʐɑtɪ
jɨspɔˑrtʲitʲ,zʲipsuwɑtɪ
pəvrʲɪdʲiˑtʲ,zɑʂkɔdɪtɪ
rɐzbʲiˑtʲ,rɔzbɪtɪ
rəzɐrvaˑtʲ,rɔzʲirwɑtɪ
rɐzruˑʃɨtʲ,zrujnuwɑtɪ
sʒɛˑt͡ʃʲ,spɑlɪtɪ
daˑtʲ,dɑtɪ
pʲɪrʲɪdaˑtʲ,pɛrɛdɑtɪ
dɐrʲiˑtʲ,dɑruwɑtɪ
ɐbʲɪʃʃaˑtʲ,ɔbit͡sʲɑtɪ
ʒɪɫaˑtʲ,bɑʐɑtɪ
xvɐliˑtʲ,xwɑlɪtɪ
t͡səɫɐvaˑtʲ,t͡sʲiluwɑtɪ
kɐt͡ʃaˑtʲ,kɑʈ͡ʂɑtɪ
nɐkrɨˑtʲ,nɑkrɪtɪ
rəzbudʲiˑtʲ,rɔzbudɪtɪ
pəkɐzaˑtʲ,pɔkɑzɑtɪ
vʲɪstʲiˑ,wɛstɪ
ut͡ʃʲiˑtʲ,wʈ͡ʂɪtɪ
prʲɪpədɐvaˑtʲ,wɪklɑdɑtɪ
vəspʲitaˑtʲ,wɪxɔwɑtɪ
rukəvɐdʲiˑtʲ,kɛruwɑtɪ
pədɡɐnʲaˑtʲ,pʲidɦɑnʲɑtɪ
zɐstaˑvʲitʲ,zmusɪtɪ
prʲiɡɫɐsʲiˑtʲ,zɑprɔsɪtɪ
ɐbəjədʲinʲiˑtʲ,ɔbjɛdnɑtɪ
pəsʲɪtʲiˑtʲ,zɑvitɑtɪ
pəsʲɪtʲiˑtʲ,vidvidɑtɪ
vstrʲɪtʲiˑtʲ,zustrʲitɪ
sɐbraˑtʲsʲɪ,zʲibrɑtɪsʲɑ
jɨɡraˑtʲ,ɦrɑtɪ
pʲeˑtʲ,spʲiwɑtɪ
plaˑsətʲ,tɑnt͡sʲuwɑtɪ
tənt͡sɪvaˑtʲ,tɑnt͡sʲuwɑtɪ
rɐsstaˑtʲsʲɪ,rɔzluʈ͡ʂɪtɪsʲɑ
pɐkiˑnutʲ,pɔkɪnutɪ
spɐstʲiˑ,wrʲɑtuwɑtɪ
ɐxrɐnʲaˑtʲ,ɔxɔrɔnʲɑtɪ
ubʲɪrʲɪɡaˑtʲ,ubɛrʲiɦɑtɪ
zəʃʲːitʲiˑtʲ,zɑxɪstɪtɪ
draˑtʲsʲɪ,bɪtɪsʲɑ
draˑtʲsʲɪ,drɑtɪsʲɑ
strʲɪlaˑtʲ,strʲilʲɑtɪ
pəbʲɪdʲiˑtʲ,pɛrɛmɔɦtɪ
sʲɪrdʲiˑtʲ,sɛrdɪtɪ
udaˑrʲitʲ,udɑrɪtɪ
pʲinaˑtʲ,ʂtɔwxɑtɪ
ukɐɫɔˑtʲ,wkɔlɔtɪ
tɐɫknuˑtʲ,ʂtɔwxnutɪ
ukraˑstʲ,ukrɑstɪ
pəmʲɪʃaˑtʲ,pɛrɛʂkɔdɪtɪ
nədəjɪdaˑtʲ,dɔkuʈ͡ʂɑtɪ
skrɨˑtʲ,sxɔwɑtɪ
ɐbmɐnuˑtʲ,ɔbdurɪtɪ
smɐʃɛˑnnʲit͡ʃətʲ,ʂːɑxrɑjuwɑtɪ
ubʲiˑtʲ,ubɪtɪ
prəʒɨvaˑtʲ,ʐɪtɪ
prəʒɨvaˑtʲ,mɛʂkɑtɪ
rɐbɔˑtətʲ,prɑt͡sʲuwɑtɪ
sɐbraˑtʲ,zʲibrɑtɪ
rvaˑtʲ,zrɪwɑtɪ
srɨvaˑtʲ,zrɪwɑtɪ
ɐxɔˑtʲitʲsʲɪ,pɔlʲuwɑtɪ
rɨbaˑt͡ʃʲitʲ,rɪbɑlɪtɪ
pəjmaˑtʲ,pʲijmɑtɪ
pɐstʲiˑ,pɑstɪ
ɡnaˑtʲ,ɦnɑtɪ
prʲivʲɪ|zaˑtʲ,prɪwjɑzɑtɪ
kɐrmʲiˑtʲ,ɦɔduwɑtɪ
kɐrmʲiˑtʲ,xɑrʈ͡ʂuwɑtɪ
dɐjɨˑtʲ,dɔjitɪ
rubʲiˑtʲ,rubɑtɪ
pɐliˑtʲ,pɔlɪtɪ
sɐzrʲeˑtʲ,dɔzrʲitɪ
prʲiɡɐtɔˑvʲitʲ,zɦɔtɔwɪtɪ
prʲiɡɐtɔˑvʲitʲ,prɪɦɔtuwɑtɪ
vɐrʲiˑtʲ,wɑrɪtɪ
vɐrʲiˑtʲ,ɦɔtuwɑtɪ
pʲeˑt͡ʃʲ,pɛktɪ
ʒaˑrʲitʲ,smɑʐɪtɪ
pʲɪrʲɪmʲɪʃaˑtʲ,pɛrɛmiʂʈ͡ʂɑtɪ
vʲɪ|zaˑtʲ,wjɑzɑtɪ
ʃɨˑtʲ,ʂɪtɪ
pɐkraˑsʲitʲ,pɔfɑrbuwɑtɪ
ɐt͡ʃʲiˑstʲitʲ,ɔʈ͡ʂɪstɪtɪ
stʲiraˑtʲ,mɪtɪ
vɨˑtʲɪrʲɪtʲ,wɪtɛrtɪ
pəɫɐskaˑtʲ,pɔlɔskɑtɪ
pədmʲɪtaˑtʲ,pʲidmitɑtɪ
mʲɪstʲiˑ,mɛstɪ
kupaˑtʲsʲɪ,kupɑtɪsʲɑ
mɨˑtʲsʲɪ,mɪtɪsʲɑ
snʲaˑtʲ,znʲɑtɪ
nɐdʲeˑtʲ,nɑdʲitɪ
ɐdʲeˑtʲsʲɪ,ɔdʲɑɦtɪsʲɑ
ɐdʲeˑtʲsʲɪ,ɔdʲɑɦnutɪsʲɑ
prʲit͡ʃʲɪsaˑtʲ,zɑʈ͡ʂɛsɑtɪ
ukraˑsʲitʲ,ɔzdɔbɪtɪ
skɐzaˑtʲ,skɑzɑtɪ
ɡəvɐrʲiˑtʲ,ɦɔwɔrɪtɪ
rəzɡɐvaˑrʲivətʲ,rɔzmɔwlʲɑtɪ
bʲɪsʲeˑdəvətʲ,bɛsʲiduwɑtɪ
sprɐsʲiˑtʲ,zɑpɪtɑtɪ
prɐsʲiˑtʲ,prɔsɪtɪ
rəsskɐzaˑtʲ,rɔzpɔvistɪ
səɐbʃʲːiˑtʲ,pɔvidɔmɪtɪ
nɐzvaˑtʲ,nɑzwɑtɪ
zvaˑtʲ,klɪkɑtɪ
xvaˑstətʲsʲɪ,xwɑlɪtɪsʲɑ
pʲɪrʲɪvʲɪstʲiˑ,pɛrɛklɑstɪ
duˑmətʲ,dumɑtɪ
duˑmətʲ,mɪslɪtɪ
vʲeˑrʲitʲ,virɪtɪ
zɐmʲeˑtʲitʲ,pɔmitɪtɪ
uznaˑtʲ,pʲiznɑtɪ
pɐnʲaˑtʲ,ɔsʲɑɦnutɪ
pɐstʲiˑt͡ʃʲ,ɔsʲɑɦnutɪ
usɫɨˑʃətʲ,pɔʈ͡ʂutɪ
ut͡ʃʲiˑtʲsʲɪ,nɑwʈ͡ʂɑtɪsʲɑ
znaˑtʲ,znɑtɪ
vspɔˑmnʲitʲ,pɑmjɑtɑtɪ
zɐbɨˑtʲ,zɑbutɪ
mʲeˑrʲitʲ,mirʲɑtɪ
st͡ʃʲitaˑtʲ,lʲiʈ͡ʂɪtɪ
st͡ʃʲitaˑtʲ,rɑxuwɑtɪ
t͡ʃʲitaˑtʲ,ʈ͡ʂɪtɑtɪ
rʲisɐvaˑtʲ,mɑlʲuwɑtɪ
rʲisɐvaˑtʲ,rɪsuwɑtɪ
pʲisaˑtʲ,pɪsɑtɪ
jɨmʲeˑtʲ,mɑtɪ
kupʲiˑtʲ,kupɪtɪ
prɐdaˑtʲ,prɔdɑtɪ
zəpɫɐtʲiˑtʲ,zɑplɑtɪtɪ
pɫɐtʲiˑtʲ,plɑtɪtɪ
vɫɐdʲeˑtʲ,wɔlɔdʲitɪ
vɨˑtʲɪrpʲɪtʲ,wɪtɛrpʲitɪ